,REF,Company (Manufacturer),Company Location,Review Date,Cocoa Percent,Ingredients,Rating
0,2454,5150,U.S.A.,2019,76%,"3- B,S,C",3.25
1,2458,5150,U.S.A.,2019,76%,"3- B,S,C",3.5
2,2454,5150,U.S.A.,2019,76%,"3- B,S,C",3.75
3,2542,5150,U.S.A.,2021,68%,"3- B,S,C",3.0
4,2546,5150,U.S.A.,2021,72%,"3- B,S,C",3.0
5,2546,5150,U.S.A.,2021,80%,"3- B,S,C",3.25
6,2542,5150,U.S.A.,2021,68%,"3- B,S,C",3.5
7,797,A. Morin,France,2012,70%,"4- B,S,C,L",3.5
8,797,A. Morin,France,2012,63%,"4- B,S,C,L",3.75
9,1011,A. Morin,France,2013,70%,"4- B,S,C,L",2.75
10,1015,A. Morin,France,2013,70%,"4- B,S,C,L",2.75
11,1011,A. Morin,France,2013,70%,"4- B,S,C,L",3.0
12,1015,A. Morin,France,2013,70%,"4- B,S,C,L",3.0
13,1011,A. Morin,France,2013,70%,"4- B,S,C,L",3.25
14,1015,A. Morin,France,2013,70%,"4- B,S,C,L",3.25
15,1019,A. Morin,France,2013,70%,"4- B,S,C,L",3.25
16,1019,A. Morin,France,2013,70%,"4- B,S,C,L",3.5
17,1011,A. Morin,France,2013,70%,"4- B,S,C,L",3.75
18,1015,A. Morin,France,2013,70%,"4- B,S,C,L",4.0
19,1019,A. Morin,France,2013,63%,"3- B,S,C",4.0
20,1315,A. Morin,France,2014,70%,"4- B,S,C,L",2.75
21,1315,A. Morin,France,2014,70%,"4- B,S,C,L",3.5
22,1315,A. Morin,France,2014,70%,"4- B,S,C,L",3.5
23,1319,A. Morin,France,2014,70%,"4- B,S,C,L",3.75
24,1319,A. Morin,France,2014,70%,"4- B,S,C,L",4.0
25,1676,A. Morin,France,2015,70%,"4- B,S,C,L",2.75
26,1676,A. Morin,France,2015,70%,"4- B,S,C,L",3.0
27,1680,A. Morin,France,2015,70%,"4- B,S,C,L",3.5
28,1704,A. Morin,France,2015,70%,"4- B,S,C,L",3.5
29,1876,A. Morin,France,2016,63%,"4- B,S,C,L",3.75
30,2206,A. Morin,France,2018,70%,"4- B,S,C,L",3.5
31,2206,A. Morin,France,2018,63%,"4- B,S,C,L",3.75
32,2648,A. Morin,France,2021,70%,"4- B,S,C,L",4.0
33,1462,Acalli,U.S.A.,2015,70%,"2- B,S",3.75
34,1470,Acalli,U.S.A.,2015,70%,"2- B,S",3.75
35,2462,Acalli,U.S.A.,2020,74%,"2- B,S",3.25
36,2470,Acalli,U.S.A.,2020,70%,"2- B,S",3.5
37,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,60%,"3- B,S,C",2.75
38,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,80%,"3- B,S,C",3.25
39,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,88%,"3- B,S,C",3.5
40,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,72%,"3- B,S,C",3.5
41,2438,Aelan,Vanuatu,2019,70%,"2- B,S",2.5
42,2438,Aelan,Vanuatu,2019,70%,"2- B,S",2.75
43,2442,Aelan,Vanuatu,2019,70%,"2- B,S",2.75
44,2438,Aelan,Vanuatu,2019,70%,"2- B,S",3.0
45,370,Aequare (Gianduja),Ecuador,2009,55%,"4- B,S,C,V",2.75
46,370,Aequare (Gianduja),Ecuador,2009,70%,"4- B,S,C,V",3.0
47,316,Ah Cacao,Mexico,2009,70%,"3- B,S,C",3.0
48,502,Akesson's (Pralus),U.K.,2010,75%,"4- B,S,C,L",2.75
49,508,Akesson's (Pralus),U.K.,2010,75%,"4- B,S,C,L",2.75
50,636,Akesson's (Pralus),U.K.,2011,75%,"4- B,S,C,L",3.75
51,1061,Alain Ducasse,France,2013,75%,"5- B,S,C,V,L",2.5
52,1173,Alain Ducasse,France,2013,75%,"5- B,S,C,V,L",2.5
53,1215,Alain Ducasse,France,2014,65%,"6-B,S,C,V,L,Sa",2.75
54,1215,Alain Ducasse,France,2014,75%,"5-B,S,C,V,Sa",2.75
55,1215,Alain Ducasse,France,2014,75%,"5-B,S,C,V,Sa",3.0
56,1992,Alain Ducasse,France,2017,75%,"6-B,S,C,V,L,Sa",3.5
57,1944,Alexandre,Netherlands,2017,70%,"3- B,S,C",3.5
58,1944,Alexandre,Netherlands,2017,70%,"3- B,S,C",3.5
59,1944,Alexandre,Netherlands,2017,70%,"3- B,S,C",3.5
60,1944,Alexandre,Netherlands,2017,70%,"3- B,S,C",3.5
61,1125,Altus aka Cao Artisan,U.S.A.,2013,60%,"4- B,S,C,L",2.5
62,1125,Altus aka Cao Artisan,U.S.A.,2013,60%,"4- B,S,C,L",3.0
63,1133,Altus aka Cao Artisan,U.S.A.,2013,60%,"4- B,S,C,L",3.0
64,1129,Altus aka Cao Artisan,U.S.A.,2013,80%,"4- B,S,C,L",3.25
65,1133,Altus aka Cao Artisan,U.S.A.,2013,60%,"4- B,S,C,L",3.25
66,1732,Altus aka Cao Artisan,U.S.A.,2016,60%,"3- B,S,C",2.5
67,1732,Altus aka Cao Artisan,U.S.A.,2016,60%,"3- B,S,C",2.5
68,1728,Altus aka Cao Artisan,U.S.A.,2016,60%,"3- B,S,C",2.75
69,1732,Altus aka Cao Artisan,U.S.A.,2016,60%,"3- B,S,C",2.75
70,1728,Altus aka Cao Artisan,U.S.A.,2016,60%,"3- B,S,C",3.0
71,2044,Altus aka Cao Artisan,U.S.A.,2018,70%,"3- B,S,C",3.0
72,147,Amano,U.S.A.,2007,70%,"4- B,S,C,V",3.0
73,129,Amano,U.S.A.,2007,70%,"4- B,S,C,V",3.5
74,175,Amano,U.S.A.,2007,70%,"4- B,S,C,V",3.75
75,304,Amano,U.S.A.,2008,70%,"4- B,S,C,V",2.75
76,363,Amano,U.S.A.,2009,70%,"4- B,S,C,V",3.0
77,544,Amano,U.S.A.,2010,70%,"4- B,S,C,V",3.0
78,470,Amano,U.S.A.,2010,70%,"4- B,S,C,V",3.75
79,470,Amano,U.S.A.,2010,70%,"4- B,S,C,V",4.0
80,725,Amano,U.S.A.,2011,70%,"4- B,S,C,V",4.0
