,REF,Review Date,Cocoa Percent,Rating,Num_of_Ingredients,clusters
0,2454,2019,76.0,3.25,3,1
1,2458,2019,76.0,3.5,3,1
2,2454,2019,76.0,3.75,3,1
3,2542,2021,68.0,3.0,3,1
4,2546,2021,72.0,3.0,3,1
5,2546,2021,80.0,3.25,3,1
6,2542,2021,68.0,3.5,3,1
7,797,2012,70.0,3.5,4,0
8,797,2012,63.0,3.75,4,0
9,1011,2013,70.0,2.75,4,2
10,1015,2013,70.0,2.75,4,2
11,1011,2013,70.0,3.0,4,2
12,1015,2013,70.0,3.0,4,2
13,1011,2013,70.0,3.25,4,2
14,1015,2013,70.0,3.25,4,2
15,1019,2013,70.0,3.25,4,2
16,1019,2013,70.0,3.5,4,2
17,1011,2013,70.0,3.75,4,2
18,1015,2013,70.0,4.0,4,2
19,1019,2013,63.0,4.0,3,2
20,1315,2014,70.0,2.75,4,2
21,1315,2014,70.0,3.5,4,2
22,1315,2014,70.0,3.5,4,2
23,1319,2014,70.0,3.75,4,2
24,1319,2014,70.0,4.0,4,2
25,1676,2015,70.0,2.75,4,2
26,1676,2015,70.0,3.0,4,2
27,1680,2015,70.0,3.5,4,2
28,1704,2015,70.0,3.5,4,2
29,1876,2016,63.0,3.75,4,1
30,2206,2018,70.0,3.5,4,1
31,2206,2018,63.0,3.75,4,1
32,2648,2021,70.0,4.0,4,1
33,1462,2015,70.0,3.75,2,2
34,1470,2015,70.0,3.75,2,2
35,2462,2020,74.0,3.25,2,1
36,2470,2020,70.0,3.5,2,1
37,705,2011,60.0,2.75,3,0
38,705,2011,80.0,3.25,3,0
39,705,2011,88.0,3.5,3,0
40,705,2011,72.0,3.5,3,0
41,2438,2019,70.0,2.5,2,1
42,2438,2019,70.0,2.75,2,1
43,2442,2019,70.0,2.75,2,1
44,2438,2019,70.0,3.0,2,1
45,370,2009,55.0,2.75,4,0
46,370,2009,70.0,3.0,4,0
47,316,2009,70.0,3.0,3,0
48,502,2010,75.0,2.75,4,0
49,508,2010,75.0,2.75,4,0
50,636,2011,75.0,3.75,4,0
51,1061,2013,75.0,2.5,5,2
52,1173,2013,75.0,2.5,5,2
53,1215,2014,65.0,2.75,6,2
54,1215,2014,75.0,2.75,5,2
55,1215,2014,75.0,3.0,5,2
56,1992,2017,75.0,3.5,6,1
57,1944,2017,70.0,3.5,3,1
58,1944,2017,70.0,3.5,3,1
59,1944,2017,70.0,3.5,3,1
60,1944,2017,70.0,3.5,3,1
61,1125,2013,60.0,2.5,4,2
62,1125,2013,60.0,3.0,4,2
63,1133,2013,60.0,3.0,4,2
64,1129,2013,80.0,3.25,4,2
65,1133,2013,60.0,3.25,4,2
66,1732,2016,60.0,2.5,3,2
67,1732,2016,60.0,2.5,3,2
68,1728,2016,60.0,2.75,3,2
69,1732,2016,60.0,2.75,3,2
70,1728,2016,60.0,3.0,3,2
71,2044,2018,70.0,3.0,3,1
72,147,2007,70.0,3.0,4,0
73,129,2007,70.0,3.5,4,0
74,175,2007,70.0,3.75,4,0
75,304,2008,70.0,2.75,4,0
76,363,2009,70.0,3.0,4,0
77,544,2010,70.0,3.0,4,0
78,470,2010,70.0,3.75,4,0
79,470,2010,70.0,4.0,4,0
80,725,2011,70.0,4.0,4,0
81,327,2009,70.0,2.75,2,0
82,464,2009,85.0,2.75,2,0
83,322,2009,70.0,3.0,2,0
84,464,2009,85.0,3.0,2,0
85,1964,2017,70.0,3.0,0,1
86,1964,2017,70.0,3.5,0,1
87,1145,2013,72.0,3.25,3,2
88,1145,2013,73.0,3.5,3,2
89,1494,2015,64.0,3.0,4,2
90,1494,2015,66.0,3.25,2,2
91,1498,2015,75.0,3.25,2,2
92,1498,2015,63.0,3.25,2,2
93,1498,2015,70.0,3.25,2,2
94,1498,2015,68.0,3.5,2,2
95,75,2006,66.0,3.75,4,0
96,123,2007,70.0,3.0,4,0
97,123,2007,70.0,3.0,4,0
98,123,2007,70.0,3.5,4,0
99,129,2007,70.0,3.5,4,0
100,170,2007,63.0,3.5,4,0
101,123,2007,70.0,3.75,4,0
102,979,2012,70.0,3.75,4,2
103,2088,2018,70.0,3.0,4,1
104,2088,2018,70.0,3.0,4,1
105,2092,2018,70.0,3.0,4,1
106,2092,2018,75.0,3.5,4,1
107,2434,2019,70.0,2.75,3,1
108,572,2010,85.0,2.75,4,0
109,572,2010,50.0,3.75,4,0
110,572,2010,75.0,3.75,4,0
111,572,2010,60.0,4.0,4,0
112,1065,2013,75.0,3.25,4,2
113,1259,2014,75.0,3.0,2,2
114,1852,2016,75.0,3.5,2,1
115,2586,2021,75.0,3.0,2,1
116,2586,2021,75.0,3.25,2,1
117,1379,2014,72.0,2.5,3,2
118,1379,2014,75.0,2.75,3,2
119,1375,2014,75.0,3.0,3,2
120,1379,2014,75.0,3.0,3,2
121,1602,2015,75.0,2.75,2,2
122,1602,2015,70.0,3.25,2,2
123,1534,2015,70.0,3.5,2,2
124,1534,2015,68.0,3.5,2,2
125,1598,2015,70.0,3.5,2,2
126,1602,2015,75.0,3.5,3,2
127,1534,2015,70.0,3.75,2,2
128,1598,2015,70.0,3.75,2,2
129,1598,2015,70.0,4.0,2,2
130,1904,2016,70.0,3.25,3,1
131,1904,2016,70.0,3.25,3,1
132,1928,2016,70.0,3.25,2,1
133,1928,2016,73.0,3.25,2,1
134,1724,2016,70.0,3.5,2,2
135,1900,2016,73.0,3.5,3,1
136,1904,2016,70.0,3.5,2,1
137,1908,2016,70.0,3.5,2,1
138,1724,2016,70.0,3.75,2,2
139,1904,2016,70.0,3.75,3,1
140,1928,2016,70.0,3.75,2,1
141,1908,2016,70.0,4.0,2,1
142,1924,2016,70.0,4.0,2,1
143,2020,2017,70.0,3.5,2,1
144,2020,2017,70.0,3.5,3,1
145,2020,2017,73.0,3.5,3,1
146,2028,2017,70.0,3.5,3,1
147,2024,2017,70.0,4.0,2,1
148,2028,2017,70.0,4.0,2,1
149,2068,2018,70.0,3.0,2,1
150,2254,2018,70.0,4.0,2,1
151,2450,2019,70.0,3.0,3,1
152,2330,2019,70.0,3.25,3,1
153,2166,2018,70.0,3.0,2,1
154,2162,2018,70.0,3.25,2,1
155,2162,2018,70.0,3.5,2,1
156,2162,2018,70.0,3.5,2,1
157,300,2008,72.0,3.75,3,0
158,363,2009,72.0,1.75,3,0
159,355,2009,75.0,2.5,3,0
160,355,2009,72.0,2.75,3,0
161,363,2009,80.0,3.0,3,0
162,363,2009,75.0,3.0,3,0
163,363,2009,72.0,3.25,3,0
164,486,2010,100.0,1.75,0,0
165,600,2010,72.0,3.25,3,0
166,600,2010,72.0,3.25,3,0
167,600,2010,72.0,3.5,3,0
168,531,2010,72.0,3.75,3,0
169,745,2011,72.0,2.75,3,0
170,729,2011,72.0,4.0,3,0
171,947,2012,72.0,3.75,3,0
172,1193,2013,72.0,3.25,3,2
173,1181,2013,72.0,2.75,4,2
174,2562,2021,72.0,3.25,4,1
175,2562,2021,72.0,3.25,4,1
176,2566,2021,72.0,3.5,4,1
177,141,2007,75.0,2.5,2,0
178,175,2007,70.0,3.0,2,0
179,331,2009,77.0,3.75,2,0
180,647,2011,72.0,3.75,2,0
181,661,2011,70.0,3.75,2,0
182,1780,2016,68.0,3.75,3,2
183,2434,2019,70.0,3.0,4,1
184,2056,2018,77.0,2.75,4,1
185,2056,2018,70.0,3.0,3,1
186,2056,2018,70.0,3.0,3,1
187,2056,2018,70.0,3.5,3,1
188,2672,2021,70.0,2.5,2,1
189,2672,2021,70.0,3.0,2,1
190,999,2012,70.0,2.5,2,2
191,999,2012,70.0,2.5,2,2
192,995,2012,70.0,3.0,2,2
193,1474,2015,80.0,3.25,2,2
194,1474,2015,70.0,3.5,2,2
195,2146,2018,70.0,3.0,2,1
196,1454,2015,70.0,2.75,3,2
197,1454,2015,70.0,3.5,3,2
198,2290,2019,72.0,2.5,3,1
199,2294,2019,82.0,2.75,3,1
200,2294,2019,72.0,3.25,3,1
201,983,2012,70.0,3.25,2,2
202,983,2012,70.0,3.5,2,2
203,983,2012,70.0,3.75,2,2
204,1295,2014,70.0,4.0,2,2
205,1554,2015,70.0,3.5,2,2
206,1980,2017,72.0,3.5,2,1
207,1980,2017,80.0,3.5,2,1
208,955,2012,80.0,2.75,4,0
209,1880,2016,65.0,3.25,3,1
210,1840,2016,65.0,3.5,3,2
